"measure_1","measure_2","tau","networks"
"gravity","markov",0.9212,19
"diffusion","weighted_h_index",0.9208,19
"community_based","degree",0.9207,19
"community_based","expected_influence_1",0.9207,19
"harary","random_walk",0.9207,19
"community_based","strength",0.9207,19
"fragmentation","harary",0.9205,14
"expected","subgraph",0.9205,19
"expected_influence_2","weighted_h_index",0.9205,19
"harary","information",0.9201,19
"degree","katz",0.9196,19
"expected_influence_1","katz",0.9196,19
"katz","strength",0.9196,19
"harary","spanning_tree",0.9192,19
"centroid","harmonic",0.919,19
"centroid","reaching_local",0.919,19
"average_distance","centroid",-0.9188,19
"barycenter","centroid",0.9188,19
"centroid","closeness",0.9188,19
"centroid","lin",0.9188,19
"kpath","markov",0.9188,19
"centroid","radiality",0.9188,19
"centroid","wiener",-0.9188,19
"current_flow_closeness","harary",0.9187,19
"current_flow_closeness","katz",0.9186,19
"centroid","delta_closeness",0.918,19
"centroid","gilschmidt",0.918,19
"expected","kpath",0.9177,19
"diffusion","nonbacktracking",0.9173,19
"laplacian","markov",0.9168,19
"gravity","laplacian",0.9163,19
"markov","node_contraction_improved",0.9157,14
"centroid","degree",0.9152,19
"centroid","expected_influence_1",0.9152,19
"centroid","strength",0.9152,19
"laplacian","nonbacktracking",0.9151,19
"dangalchev","node_contraction_improved",0.9145,14
"decay","node_contraction_improved",0.9145,14
"generalized_closeness","node_contraction_improved",0.9145,14
"node_contraction_improved","residual_closeness",0.9145,14
"laplacian","semilocal",0.9145,19
"average_distance","fragmentation",-0.9143,14
"barycenter","fragmentation",0.9143,14
"closeness","fragmentation",0.9143,14
"fragmentation","lin",0.9143,14
"fragmentation","radiality",0.9143,14
"fragmentation","wiener",-0.9143,14
"degree","delta_closeness",0.9141,19
"delta_closeness","expected_influence_1",0.9141,19
"degree","gilschmidt",0.9141,19
"expected_influence_1","gilschmidt",0.9141,19
"delta_closeness","strength",0.9141,19
"gilschmidt","strength",0.9141,19
"communicability_betweenness","katz",0.9139,19
"degree","harmonic",0.9137,19
"expected_influence_1","harmonic",0.9137,19
"node_contraction","pagerank",0.9137,19
"degree","reaching_local",0.9137,19
"expected_influence_1","reaching_local",0.9137,19
"harmonic","strength",0.9137,19
"reaching_local","strength",0.9137,19
"semilocal","weighted_h_index",0.9134,19
"gravity","random_walk",0.9131,19
"degree","gravity",0.9125,19
"expected_influence_1","gravity",0.9125,19
"gravity","information",0.9125,19
"gravity","strength",0.9125,19
"expected_influence_2","nonbacktracking",0.9121,19
"node_contraction_improved","random_walk",0.9118,14
"gravity","spanning_tree",0.9117,19
"semilocal","subgraph",0.9114,19
"current_flow_closeness","gravity",0.9113,19
"node_contraction_improved","spanning_tree",0.9113,14
"katz","subgraph",0.911,19
"information","node_contraction_improved",0.9105,14
"average_distance","harary",-0.9099,19
"barycenter","harary",0.9099,19
"closeness","harary",0.9099,19
"diffusion","katz",0.9099,19
"harary","lin",0.9099,19
"harary","radiality",0.9099,19
"harary","wiener",-0.9099,19
"laplacian","random_walk",0.9098,19
"current_flow_closeness","node_contraction_improved",0.9097,14
"expected","nonbacktracking",0.9097,19
"information","laplacian",0.9092,19
"effective_size","ego_betweenness",0.909,19
"harary","katz",0.9088,19
"centroid","integration",0.9085,19
"laplacian","spanning_tree",0.9084,19
"gravity","harary",0.9082,19
"local_bridging","node_contraction",-0.9081,19
"current_flow_closeness","laplacian",0.908,19
"kpath","random_walk",0.9072,19
"eigenvector","katz",0.907,19
"communicability","katz",0.9069,19
"information","kpath",0.9066,19
"communicability_betweenness","diffusion",0.9065,19
"harmonic","markov",0.9065,19
"markov","reaching_local",0.9065,19
"harary","laplacian",0.906,19
"hindex_strength","onion",0.906,19
"lobby","onion",0.906,19
"kpath","spanning_tree",0.9059,19
"delta_closeness","markov",0.9058,19
"gilschmidt","markov",0.9058,19
"current_flow_closeness","kpath",0.9055,19
"gravity","node_contraction_improved",0.9055,14
"authority","katz",0.9043,19
"kpath","semilocal",0.904,19
"communicability","communicability_betweenness",0.9031,19
"nonbacktracking","semilocal",0.9029,19
"harmonic","random_walk",0.9028,19
"random_walk","reaching_local",0.9028,19
"betweenness","stress",0.9026,19
"percolation","stress",0.9026,19
"centroid","random_walk",0.9025,19
"harmonic","information",0.9022,19
"information","reaching_local",0.9022,19
"authority","communicability_betweenness",0.902,19
"centroid","information",0.9019,19
"fragmentation","integration",0.9018,14
"hub","kpath",0.9017,19
"delta_closeness","random_walk",0.9017,19
"gilschmidt","random_walk",0.9017,19
"reaching_local","spanning_tree",0.9014,19
"harmonic","spanning_tree",0.9013,19
"centroid","fragmentation",0.9012,14
"centroid","spanning_tree",0.9011,19
"delta_closeness","information",0.901,19
"gilschmidt","information",0.901,19
"current_flow_closeness","harmonic",0.9008,19
"current_flow_closeness","reaching_local",0.9008,19
"communicability_betweenness","eigenvector",0.9007,19
"centroid","current_flow_closeness",0.9005,19
"delta_closeness","spanning_tree",0.9003,19
"gilschmidt","spanning_tree",0.9003,19
"expected_influence_2","katz",0.9001,19
"load","stress",0.9,19
"current_flow_closeness","delta_closeness",0.8997,19
"communicability_betweenness","expected_influence_2",0.8997,19
"current_flow_closeness","gilschmidt",0.8997,19
"communicability_betweenness","subgraph",0.8996,19
"harary","integration",0.8994,19
"degree","laplacian",0.8986,19
"expected_influence_1","laplacian",0.8986,19
"katz","nonbacktracking",0.8986,19
"laplacian","strength",0.8986,19
"length_scaled_betweenness","stress",0.8985,19
"harary","kpath",0.8975,19
"degree","node_contraction",0.8974,19
"expected_influence_1","node_contraction",0.8974,19
"node_contraction","strength",0.8974,19
"delta_closeness","laplacian",0.8968,19
"gilschmidt","laplacian",0.8968,19
"local_entropy","semilocal",-0.8961,19
"degree","kpath",0.896,19
"expected_influence_1","kpath",0.896,19
"harmonic","laplacian",0.896,19
"laplacian","reaching_local",0.896,19
"kpath","strength",0.896,19
"diffusion","hub",0.8958,19
"centroid","markov",0.8955,19
"delta_closeness","gravity",0.8948,19
"gilschmidt","gravity",0.8948,19
"communicability_betweenness","expected",0.8942,19
"gravity","harmonic",0.8942,19
"gravity","reaching_local",0.8942,19
"dangalchev","degree",0.894,19
"decay","degree",0.894,19
"dangalchev","expected_influence_1",0.894,19
"decay","expected_influence_1",0.894,19
"degree","generalized_closeness",0.894,19
"expected_influence_1","generalized_closeness",0.894,19
"degree","residual_closeness",0.894,19
"expected_influence_1","residual_closeness",0.894,19
"dangalchev","strength",0.894,19
"decay","strength",0.894,19
"generalized_closeness","strength",0.894,19
"residual_closeness","strength",0.894,19
"expected","katz",0.8933,19
"expected","local_entropy",-0.8929,19
"delta_betweenness","stress",0.8924,19
"hub","laplacian",0.8918,19
"delta_closeness","katz",0.8909,19
"gilschmidt","katz",0.8909,19
"harmonic","katz",0.8905,19
"katz","reaching_local",0.8905,19
"leverage","local_bridging",-0.8901,19
"dangalchev","markov",0.8896,19
"decay","markov",0.8896,19
"generalized_closeness","markov",0.8896,19
"markov","residual_closeness",0.8896,19
"expected_influence_2","hub",0.8887,19
"gravity","subgraph",0.8884,19
"communicability","gravity",0.8878,19
"katz","mnc",0.8871,18
"authority","weighted_h_index",0.887,19
"communicability_betweenness","nonbacktracking",0.8864,19
"delta_closeness","kpath",0.8863,19
"gilschmidt","kpath",0.8863,19
"communicability_betweenness","markov",0.8862,19
"centroid","node_contraction",0.8861,19
"dangalchev","random_walk",0.8859,19
