config_1,config_2,networks,mean_tau_b,mean_abs_tau_b,median_tau_b,min_tau_b,max_tau_b,min_abs_tau_b,mean_spearman,mean_pearson,domain_balanced_tau_b,mean_tau_without_kite,networks_abs_tau_ge_099,mean_raw_tie_sensitivity,max_raw_tie_sensitivity
exogenous,onion,14,0.6775436405814685,0.6775436405814685,0.7646484874924779,0.150187852296528,0.90043149715179,0.150187852296528,0.7771749838407753,0.3870771044389797,0.5085040217991006,0.7181094704495409,0,0.0,0.0
adaptive_leaderrank,community_hub_bridge,19,0.6774576430631302,0.6774576430631302,0.672856833515095,0.482646342238851,0.822345620228783,0.482646342238851,0.8237733310003718,0.8488723537451835,0.6984839585469359,0.6706466582849974,0,0.005879924782188792,0.04107098294406397
enrenew,kpath,19,0.6774021052044823,0.6774021052044823,0.683484898756161,0.371428571428571,0.860255500239144,0.371428571428571,0.8232246985823467,0.7595390874037325,0.649080775971609,0.6690311848707966,0,0.0,0.0
dangalchev,shapley_game1,19,0.6774006294421112,0.6774006294421112,0.709509981970321,0.364806764208197,0.849039187700329,0.364806764208197,0.8085871546083381,0.8518746743848453,0.582354411736551,0.683287965998419,0,4.424902015431886e-05,0.0005083333510780275
decay,shapley_game1,19,0.6774006294421112,0.6774006294421112,0.709509981970321,0.364806764208197,0.849039187700329,0.364806764208197,0.8085871546083381,0.8518746743848453,0.582354411736551,0.683287965998419,0,4.424902015431886e-05,0.0005083333510780275
generalized_closeness,shapley_game1,19,0.6774006294421112,0.6774006294421112,0.709509981970321,0.364806764208197,0.849039187700329,0.364806764208197,0.8085871546083381,0.8518746743848453,0.582354411736551,0.683287965998419,0,4.424902015431886e-05,0.0005083333510780275
residual_closeness,shapley_game1,19,0.6774006294421112,0.6774006294421112,0.709509981970321,0.364806764208197,0.849039187700329,0.364806764208197,0.8085871546083381,0.8518746743848453,0.582354411736551,0.683287965998419,0,4.424902015431886e-05,0.0005083333510780275
community_mediator,load,19,0.6773826803011755,0.6773826803011755,0.698180812431405,0.436676614561136,0.819746859094432,0.436676614561136,0.8163676162689627,0.8604291608662973,0.6821937472099134,0.6824850489974008,0,0.0014115435900333678,0.008064231656077059
diffusion_centrality,local_dimension_fixed,19,-0.6773562993891477,0.6773562993891477,-0.776439781846333,-0.9429719493311,-0.0780497091037884,0.0780497091037884,-0.7649662755197867,-0.8122995015785445,-0.5249754788287354,-0.6851680360151173,0,0.0,0.0
hide_information,length_scaled_betweenness,19,-0.6773347811214725,0.6773347811214725,-0.723136495643756,-0.843171519287868,-0.487950036474267,0.487950036474267,-0.8218143263784402,-0.6950323948062033,-0.6446740376860934,-0.687856155824095,0,0.0009349117843244244,0.011218741851470981
